,Sentence,sequences,length,Emotion
0,go feeling hopeless damned hopeful around someone care awake,"['go', 'feeling', 'hopeless', 'damned', 'hopeful', 'around', 'someone', 'care', 'awake']",9,sadness
1,minute post feel greedy wrong,"['minute', 'post', 'feel', 'greedy', 'wrong']",5,anger
3,feeling grouchy,"['feeling', 'grouchy']",2,anger
4,feeling little lately wasnt sure,"['feeling', 'little', 'lately', 'wasnt', 'sure']",5,sadness
6,feel confused life jaded year old man,"['feel', 'confused', 'life', 'jaded', 'year', 'old', 'man']",7,fear
9,feel like make suffering seeing mean something,"['feel', 'like', 'make', 'suffering', 'seeing', 'mean', 'something']",7,sadness
11,think easiest time year feel dissatisfied,"['think', 'easiest', 'time', 'year', 'feel', 'dissatisfied']",6,anger
12,feel low energy thirsty,"['feel', 'low', 'energy', 'thirsty']",4,sadness
15,didnt really feel embarrassed,"['didnt', 'really', 'feel', 'embarrassed']",4,sadness
16,feel pretty pathetic time,"['feel', 'pretty', 'pathetic', 'time']",4,sadness
17,feeling sentimental doll child collection vintage doll sixty,"['feeling', 'sentimental', 'doll', 'child', 'collection', 'vintage', 'doll', 'sixty']",8,sadness
18,feel skeptical value every unit work put,"['feel', 'skeptical', 'value', 'every', 'unit', 'work', 'put']",7,fear
19,feel without anyone anything saying anything,"['feel', 'without', 'anyone', 'anything', 'saying', 'anything']",6,anger
20,feeling completely two strategy help feel grounded pour heart journal form letter god end list five thing grateful,"['feeling', 'completely', 'two', 'strategy', 'help', 'feel', 'grounded', 'pour', 'heart', 'journal', 'form', 'letter', 'god', 'end', 'list', 'five', 'thing', 'grateful']",18,fear
23,already feel like though dont usually eat morning,"['already', 'feel', 'like', 'though', 'dont', 'usually', 'eat', 'morning']",8,anger
24,still love wish best longer tolerate effect life fact turned bitter angry person always particularly kind people around feeling,"['still', 'love', 'wish', 'best', 'longer', 'tolerate', 'effect', 'life', 'fact', 'turned', 'bitter', 'angry', 'person', 'always', 'particularly', 'kind', 'people', 'around', 'feeling']",19,sadness
25,feel someone el kitchen like painting someone el picture,"['feel', 'someone', 'el', 'kitchen', 'like', 'painting', 'someone', 'el', 'picture']",9,sadness
26,become feel,"['become', 'feel']",2,sadness
27,feel feel like need explain wide body measure,"['feel', 'feel', 'like', 'need', 'explain', 'wide', 'body', 'measure']",8,anger
30,remember feeling acutely distressed day,"['remember', 'feeling', 'acutely', 'distressed', 'day']",5,fear
32,hill feeling id pretty much paced entirely wrong course factor never ever made dent day,"['hill', 'feeling', 'id', 'pretty', 'much', 'paced', 'entirely', 'wrong', 'course', 'factor', 'never', 'ever', 'made', 'dent', 'day']",15,anger
37,feel bit rude writing elderly gentleman ask gift feel bit greedy mild greed,"['feel', 'bit', 'rude', 'writing', 'elderly', 'gentleman', 'ask', 'gift', 'feel', 'bit', 'greedy', 'mild', 'greed']",13,anger
43,feeling already robbing peter pay get cow year cant afford get cow way,"['feeling', 'already', 'robbing', 'peter', 'pay', 'get', 'cow', 'year', 'cant', 'afford', 'get', 'cow', 'way']",13,sadness
44,feeling listless need new thing something different,"['feeling', 'listless', 'need', 'new', 'thing', 'something', 'different']",7,sadness
48,stopped feeling cold feeling hot,"['stopped', 'feeling', 'cold', 'feeling', 'hot']",5,anger
50,found feeling little morning,"['found', 'feeling', 'little', 'morning']",4,sadness
51,feel selfish spoiled,"['feel', 'selfish', 'spoiled']",3,anger
52,little bit wrote feeling unsure might go somewhere story unintended,"['little', 'bit', 'wrote', 'feeling', 'unsure', 'might', 'go', 'somewhere', 'story', 'unintended']",10,fear
54,feel know basically like fake realm science fiction,"['feel', 'know', 'basically', 'like', 'fake', 'realm', 'science', 'fiction']",8,sadness
55,hate living dad roof give excuse he providing live think feel need make feel unwelcome possible ill leave,"['hate', 'living', 'dad', 'roof', 'give', 'excuse', 'he', 'providing', 'live', 'think', 'feel', 'need', 'make', 'feel', 'unwelcome', 'possible', 'ill', 'leave']",18,sadness
61,feel like young beautiful thin depending trend girl butt implant,"['feel', 'like', 'young', 'beautiful', 'thin', 'depending', 'trend', 'girl', 'butt', 'implant']",10,fear
62,several time week feeling tortured hallucination moving people figure sound vibration,"['several', 'time', 'week', 'feeling', 'tortured', 'hallucination', 'moving', 'people', 'figure', 'sound', 'vibration']",11,fear
64,feel selfish read back former post never prayer never considered may deserve prayer,"['feel', 'selfish', 'read', 'back', 'former', 'post', 'never', 'prayer', 'never', 'considered', 'may', 'deserve', 'prayer']",13,anger
65,know pain parent feel enraged child becomes violent,"['know', 'pain', 'parent', 'feel', 'enraged', 'child', 'becomes', 'violent']",8,anger
66,roller coaster emotion supposed feeling something unpleasant coming,"['roller', 'coaster', 'emotion', 'supposed', 'feeling', 'something', 'unpleasant', 'coming']",8,sadness
69,feeling miserable also mum earth,"['feeling', 'miserable', 'also', 'mum', 'earth']",5,sadness
70,figure family love matter around anyone else feel embarrassed go ballistic,"['figure', 'family', 'love', 'matter', 'around', 'anyone', 'else', 'feel', 'embarrassed', 'go', 'ballistic']",11,sadness
